Strata,unique_id,LCC,Bgy_Name,Mun_Name,Pro_Name
2,267D2,Dipterocarp Forest Closed,Padiay,SIBAGAT,AGUSAN DEL SUR
2,268B2,Dipterocarp Forest Closed,Rajah Cabungso-an,LINGIG,SURIGAO DEL SUR
2,268C2,Dipterocarp Forest Closed,Rajah Cabungso-an,LINGIG,SURIGAO DEL SUR
2,268D2,Dipterocarp Forest Closed,Rajah Cabungso-an,LINGIG,SURIGAO DEL SUR
2,269B2,Dipterocarp Forest Closed,San Isidro,MAINIT,SURIGAO DEL NORTE
2,269C2,Dipterocarp Forest Closed,San Isidro,MAINIT,SURIGAO DEL NORTE
2,269D2,Dipterocarp Forest Closed,San Isidro,MAINIT,SURIGAO DEL NORTE
2,270B2,Dipterocarp Forest Closed,Mt. Carmel,CITY OF BAYUGAN,AGUSAN DEL SUR
2,270C2,Dipterocarp Forest Closed,Mt. Carmel,CITY OF BAYUGAN,AGUSAN DEL SUR
2,270D2,Dipterocarp Forest Closed,Mt. Carmel,CITY OF BAYUGAN,AGUSAN DEL SUR
2,271B2,Dipterocarp Forest Closed,Santa Cruz (Pob.),TUBAJON,DINAGAT ISLANDS
2,271C2,Dipterocarp Forest Closed,Santa Cruz (Pob.),TUBAJON,DINAGAT ISLANDS
2,271D2,Dipterocarp Forest Closed,Santa Cruz (Pob.),TUBAJON,DINAGAT ISLANDS
2,272B2,Dipterocarp Forest Closed,Javier,BAROBO,SURIGAO DEL SUR
2,272C2,Dipterocarp Forest Closed,Javier,BAROBO,SURIGAO DEL SUR
2,272D2,Dipterocarp Forest Closed,Javier,BAROBO,SURIGAO DEL SUR
2,273B2,Dipterocarp Forest Closed,Consuelo,GENERAL LUNA,SURIGAO DEL NORTE
2,273C2,Dipterocarp Forest Closed,Consuelo,GENERAL LUNA,SURIGAO DEL NORTE
2,273D2,Dipterocarp Forest Closed,Consuelo,GENERAL LUNA,SURIGAO DEL NORTE
2,274B2,Dipterocarp Forest Closed,Bitaugan,SAN MIGUEL,SURIGAO DEL SUR
2,274C2,Dipterocarp Forest Closed,Bitaugan,SAN MIGUEL,SURIGAO DEL SUR
2,274D2,Dipterocarp Forest Closed,Bitaugan,SAN MIGUEL,SURIGAO DEL SUR
2,275B2,Dipterocarp Forest Closed,Santa Cruz,ROSARIO,AGUSAN DEL SUR
2,275C2,Dipterocarp Forest Closed,Santa Cruz,ROSARIO,AGUSAN DEL SUR
2,275D2,Dipterocarp Forest Closed,Santa Cruz,ROSARIO,AGUSAN DEL SUR
2,276B2,Dipterocarp Forest Closed,Santa Rita,SAN LUIS,AGUSAN DEL SUR
2,276C2,Dipterocarp Forest Closed,Santa Rita,SAN LUIS,AGUSAN DEL SUR
2,276D2,Dipterocarp Forest Closed,Santa Rita,SAN LUIS,AGUSAN DEL SUR
2,277B2,Dipterocarp Forest Closed,Cabangahan,CANTILAN,SURIGAO DEL SUR
2,277C2,Dipterocarp Forest Closed,Cabangahan,CANTILAN,SURIGAO DEL SUR
2,277D2,Dipterocarp Forest Closed,Cabangahan,CANTILAN,SURIGAO DEL SUR
2,278B2,Dipterocarp Forest Closed,Bobona-on,MAINIT,SURIGAO DEL NORTE
2,278C2,Dipterocarp Forest Closed,Bobona-on,MAINIT,SURIGAO DEL NORTE
2,278D2,Dipterocarp Forest Closed,Bobona-on,MAINIT,SURIGAO DEL NORTE
2,279B2,Dipterocarp Forest Closed,Bayogo,MADRID,SURIGAO DEL SUR
2,279C2,Dipterocarp Forest Closed,Bayogo,MADRID,SURIGAO DEL SUR
2,279D2,Dipterocarp Forest Closed,Bayogo,MADRID,SURIGAO DEL SUR
2,280B2,Dipterocarp Forest Closed,San Antonio (Pob.),LIBJO (ALBOR),DINAGAT ISLANDS
2,280C2,Dipterocarp Forest Closed,San Antonio (Pob.),LIBJO (ALBOR),DINAGAT ISLANDS
2,280D2,Dipterocarp Forest Closed,San Antonio (Pob.),LIBJO (ALBOR),DINAGAT ISLANDS
2,281B2,Dipterocarp Forest Closed,Anislagan,PLACER,SURIGAO DEL NORTE
2,281C2,Dipterocarp Forest Closed,Anislagan,PLACER,SURIGAO DEL NORTE
2,281D2,Dipterocarp Forest Closed,Anislagan,PLACER,SURIGAO DEL NORTE
2,282B2,Dipterocarp Forest Closed,San Isidro,SAN FRANCISCO,AGUSAN DEL SUR
